group_id,n,coef,ci.lower,ci.upper,y,y_hat,total_score,s
0,342,0.10032731650647493,-0.06758011833266828,0.1935568797865355,0.035087719298245536,0.5730994152046782,0,0
1,229,0.14114977350184515,0.06531648860807253,0.21618521089922432,0.03930131004366814,0.6724890829694321,1,0
2,194,0.14659886790209342,0.07595446808415866,0.20524491500685965,0.07216494845360827,0.7835051546391754,2,0
3,203,0.17842418643405664,0.028213895005406962,0.2633398320014974,0.14778325123152708,0.7931034482758621,3,0
4,196,0.14896065380390638,-0.025020611746582037,0.26757419760176965,0.20918367346938774,0.846938775510204,4,0
5,175,0.05482634941760178,-0.20002451745002114,0.18226994604862934,0.2057142857142858,0.9142857142857143,5,0
6,227,0.24445643353856938,0.11269406530206393,0.3590279236697298,0.4713656387665198,0.920704845814978,6,0
7,182,0.22461729610583345,0.12494753849642662,0.3535533905932738,0.4395604395604395,0.9395604395604396,7,0
8,157,0.2833900170056687,0.15158913132993376,0.4225494889766187,0.5414012738853503,0.9363057324840764,8,0
9,175,0.27904991033687215,0.10278051252120765,0.4685659301259383,0.6514285714285715,0.96,9,0
10,173,0.33138234266193545,0.12746188689290144,0.5044910077948525,0.722543352601156,0.9595375722543353,10,0
11,184,0.35987381979502425,0.14559025475048598,0.586801571249605,0.7934782608695652,0.967391304347826,11,0
12,142,0.20214987702065612,0,0.5363072049303464,0.852112676056338,0.9929577464788732,12,0
13,144,0.21449154984286295,0,0.5561946763369922,0.8680555555555556,0.9930555555555556,13,0
14,70,0,0,0,0.9571428571428571,1,14,0
15,57,0,0,0,0.9298245614035088,1,15,0
16,27,0,0,0,1,1,16,0
17,14,0,0,0,1,1,17,0
18,2,0,0,0,1,1,18,0
